11月15日の学校は暖かいかな？	お昼の日吉津村は涼しいかな？
このあたりの今朝ならどんな？	福井県は晴れない？
このあたりの今朝の天気	学校は曇り？
このあたりの今日はどうですか？	今夜の予定
このあたりの今日は雪降る？	このあたりは雪かな？
このあたりの今夜は晴れないと思う？	夏場だけど少し涼しくなったよありがとう
このあたりの昼の天気はどんなになってる？	大丈夫じゃないですよ
このあたりの明後日は晴れない？	このあたりはどう？
このあたりの明後日は晴れると思う？	多可町は曇るかな？
このあたりの明後日は曇り？	この辺はどんな？
このあたりの夜の天気は何？	八雲町の10月は雪降るかな？
このあたりの夕方の天気	山北町は雨かな？
このあたりの夕方の天気はどんなになってる？	予知夢ですか
このあたりの夕方の天気を教えてほしい	職場は晴れかな？
このあたりの夕方はどうだろう？	天気は2月13日どう？
このあたりの夕方はどうですか？	仕事は何時に終わるの？
このあたりの夕方は晴れかな？	来月はお仕事ですか？
このあたりの夕方は雪？	学校の天気はどう？
このあたりの来週の天気はどうかな？	長瀞町は雨降らない？
このあたりは晴れないと思う？	釣れないときのほうが多いですけどね
このあたりは曇るかな？	職場は晴れると思う？
この時期はあまり使わないと思いますが	お昼のふじみ野市の暖かさは？
この辺のお昼の寒さは？	仕事ができなかったりするみたい
この辺のお昼の天気は何かな？	おすすめの食べものはありますか
この辺のお昼の涼しさは？	それは風邪の予防ができそうですね
この辺のお昼は寒い？	昼はどこに行くんですか
この辺のお昼は晴れないと思う？	今日はお仕事ですか？
この辺の今の暖かさは？	何かコツがありますか
この辺の今朝は寒い？	お昼の学校は晴れ？
この辺の今日なら？	久留米市はどんな？
この辺の今日ならどう？	寝る前には必ずつけますよ
この辺の今日は曇りかな？	何がないのかな？
この辺の今日は曇る？	どんなときそう感じますか？
この辺の昼の天気は？	質問の答えは用意できたの
この辺の昼はどう？	職場の明後日はどうだろう？
この辺の昼は涼しい？	今夜は忙しい？
この辺の朝の天気は？	間違えてしまいました
この辺の朝は暖かい？	明後日は暇になりそう？
この辺の天気はどうだろう？	そうです
この辺の明日の暖かさは？	運動してますか
この辺の明日の天気はどうだろう？	椎葉村の夕方は晴れると思う？
この辺の明日は寒い？	いざというとき頼りになります
この辺の明日は雪降るかな？	秦野市の天気は何かな？
この辺の明日は曇りかな？	南あわじ市の寒さは？
この辺の夜の天気はどんな感じ？	このあたりは雪降らない？
この辺の夜の涼しさは？	遠賀町の昼の寒さは？
この辺の夕方は雨降らない？	甲佐町の昼の暑さは？
この辺の来月の天気教えて	夜はどこかへ行く予定はありますか？
この辺の来月は暖かいかな？	学校の天気は何かな？
この辺の来週なら？	今は？
この辺の来週の天気教えて	職場ならどんな？
こぼすと熱いよね	座間味村の今朝は暑い？
こんにちはでもお盆を過ぎたらクラゲが出るので嫌ですね	明後日のこのあたりの天気
サーフィンに色々な種類があるのを最近知りました	この辺の天気はどんな？
スイカは美味しいですよねメロンも美味しいと思います	今は何かある？
スイカ割も夏の風物詩だったですね	ここの天気
そうそう素敵なお店もいっぱいありますよね	夕方はどうだろう？
そうですね死者も出たりしてますから	海南市の昼の天気を教えてほしい
そうでもないけどね	お昼のふじみ野市の暖かさは？
そうね～	今朝の予定教えて
それでもとても甘いのは不思議ですね	夕方の越前町の天気を教えてほしい
それは大変そうです	昼は何かある？
それを体現しているのが	このあたりの夕方の天気
どうやって行くのですか？	夕方は何か予定ある？
どこですか？	このあたりの天気はどうかな？
どこの海？	普代村の朝はどんな？
どこの海？	明日の杉戸町はどうだろう？
どちらに	学校のお昼の天気は何かな？
どの種目が好きですか	来月はお仕事ですか？
どんな食べ方をしますか？	このあたりのお昼の天気
ナンパですか？	この辺で何かある？
にかほ市の夜の天気教えて	今はヒマなんですか？
ニセコ町の11月は雨降るかな？	今夜は暇？
ネタが好きなんですね	お昼のこのあたりの天気
はいはい	12月の学校の涼しさは？
はい特に熟れたスイカは美味しいです	夕方の越前町の天気を教えてほしい
パズドラは？	今朝の武豊町はどうですか？
ハングルはわかりません	神奈川県の今夜は？
ポカリがいいらしいよ	来月はどちらまで？
みやこ町のお昼の暖かさは？	大事ですね
みやこ町のお昼の天気はどんな感じ？	政治家が丸坊主になってるね
もう夏も終わりかな	ここの今日はどうだろう？
よろしく	今はどちらまで？
レモンか	学校の天気は？
暗記が得意なんですね	今はヒマなんですか？
伊達市の今日は雪かな？	川崎町の天気はどんな？
一緒にね	職場の天気は？
浦添市の夕方は晴れない？	ここはどんな？
越前市の今夜はどう？	昼は曇り？
越前市の来週はどう？	職場はどんな？
遠賀町の昼の寒さは？	まだ食べてない
桶川市はどう？	明後日の職場なら？
加東市の夕方はどう？	このあたりの涼しさは？
夏と言えば	夕方の佐渡市ならどんな？
夏のスポーツと言えば何かな？	夕方はどう？
夏は東京も日差しが強いね	甲斐市の今はどう？
夏ももう終わりです紅葉の季節がやってきますね	この辺の天気はどうだろう？
夏休みだからかな？	このあたりの明日は？
夏場によく食べますよ梨は好きですか？	学校のお昼の天気は何かな？
海南市の今夜の天気を教えてほしい	赤ちゃんサイズくらいあるね
海南市の明日の天気を教えてほしい	上島町は涼しい？
学校の21日は晴れる？	どこですか？
学校の25日の天気は？	荒れてると近づきにくいねえ
学校の25日の天気は？	椎葉村の夕方は晴れると思う？
学校のお昼の暑さは？	泣けるやつあります？
学校のお昼の暖かさは？	幾重にも山ひだが連なります
学校のお昼の天気	概ね健康です
学校のお昼の天気は？	少し多いですね
学校のお昼の天気はどうかな？	こんにちはよく海に行くの？
学校のお昼の天気教えて	私も海好きですよ
学校のお昼は雨降らない？	朝から山に行きますか？
学校の今朝の涼しさは？	夜は暇になりそう？
学校の今日の天気はどうだろう？	混みやすいのも困りますね
学校の今日は雨降らないかな？	本山町の天気は何かな？
学校の今日は寒い？	お昼の枕崎市の天気を教えてほしい
学校の今日は晴れない？	今何時ですか？
学校の今日は雪降る？	夜はどこかへ行く予定はありますか？
学校の今夜の天気	自由がいいですね
学校の今夜の天気を教えてほしい	欲しいです
学校の今夜は？	テレビではどんな番組が好きですか？
学校の今夜はどうですか？	ウシか
学校の今夜は晴れないかな？	ここの天気教えて
学校の今夜は雪？	今日は忙しい？
学校の昼の天気は？	ここは曇りかな？
学校の天気	明後日の熊野町ならどんな？
学校の明後日は曇り？	海南市の夕方の天気を教えてほしい
学校の明後日は涼しいかな？	学校の暑さは？
学校の明日の天気は何かな？	あなたは私にとって必要な人です
学校の明日は？	今日のこのあたりは？
学校の明日は寒いかな？	あなたは私にとって必要な人です
学校の明日は曇りかな？	6月19日は何かある？
学校の夜は雨降る？	関西の方ですか？
学校の夜は晴れると思う？	違うことが面白いですね
学校の夕方の天気は？	いいですよねもうすぐぶどう狩りの季節ですよね
学校の夕方の天気はどうかな？	夏って感じがしますね
学校の夕方の天気はどんな感じ？	ありー
学校の夕方は？	たまにはたくさん飲んでもよいと思います
学校の夕方は雨かな？	職場で何か予定されてる？
学校の夕方は涼しいかな？	由来はあるのですか？
学校の来月の天気を教えてほしい	来月の涼しさは？
学校の来月は雪降らない？	今朝の天気はどんな？
学校の来週は晴れ？	職場は雨降る？
学校の来週は雪降るかな？	会津若松市の昼の天気を教えてほしい
学校は雨降る？	でしょ
学校は晴れないと思う？	10月は雪降らない？
学校は晴れると思う？	良く聞かせてあげてください
葛飾区の明後日は晴れないと思う？	今はヒマなんですか？
葛飾区の明日は晴れないと思う？	家庭菜園では難しいのは確か
葛飾区の夜は晴れないと思う？	ここならどんな？
気温が高くなくても	有田川町の今なら？
久御山町の6月18日の暑さは？	職場は暖かい？
久御山町の夜の暑さは？	連休が楽しみです
久御山町の夕方の暑さは？	退屈だと眠くなってもしょうがないですよ
久留米市のお昼の天気は？	山も好きです
久留米市の昼の天気は？	他に好きな果物とかあるの？
京都あたりに多そうですね	越前市の来週はどう？
近い海水浴場がおすすめですかここだと和歌山の白浜とかですかね？	別海町で何かある？
近江八幡市のお昼の涼しさは？	学校の朝はどう？
近江八幡市の今日の涼しさは？	松島町で何か予定ある？
近所にあるしね	今夜の神河町ならどうですか？
金山町の今朝の天気	健康にいいのかな？
金山町の明後日の天気	休みの日は何をしますか？
金武町の暑さは？	中型の日本犬が好きなの
空は？	佐川町の朝ならどう？
熊本県のお昼の天気は何？	そうなのか？
熊本県の今朝の天気は何？	このあたりで何か予定されてる？
見るのも面白いけどね	学校のお昼の天気はどんな感じ？
古賀市の昼は雨降らない？	そうですか何が好きですか？
戸沢村の今夜は雪？	このあたりは？
戸沢村の明後日は雪？	夏の定番
好きな言葉は？	尼崎市の今朝は暖かい？
江ノ島へ行きたい	夕方のこのあたりの天気を教えてほしい
甲佐町のお昼の暑さは？	最近ちょっと太って困っているんだ
甲佐町の夕方の暑さは？	どんな予防をしていますか？
甲斐市の夕方はどう？	ほんと？
香取市のお昼の天気は何かな？	なくしたら大変です
香取市の今夜の天気は何かな？	このあたりで何か予定ある？
高知県のお昼の暖かさは？	来週は海に行こうかと思っています
高梁市の夕方は雨降らないかな？	ここは晴れたり？
今なら？	今朝のここならどんな？
今ならどうですか？	学校はどうだろう？
今のここの天気はどう？	職場の夕方の天気はどんな感じ？
今のここは？	北広島町ならどう？
今のここは曇る？	夕方の河内町ならどうですか？
今のこのあたりの天気	職場の夕方なら？
今のこのあたりは涼しい？	夕方は雨降らないかな？
今の学校の寒さは？	お昼の涼しさは？
今の学校は？	昼のここならどう？
今の学校は晴れない？	昼の羽幌町は暖かいかな？
今の江南市は曇るかな？	夕方の神河町ならどうですか？
今の時間はわかりますか	ここの来月ならどうですか？
今の職場は晴れ？	中頓別町の夕方は雪降らない？
今の東成瀬村は晴れないかな？	学校の8月の天気はどう？
今の本巣市は暑い？	今朝の学校はどう？
今の予定	そろそろ時間かもしれません
今の予定を教えて	今日の高槻市はどう？
今の予定を教えて	来月のこの辺はどんな？
今の予定を教えてほしい	今夜のこのあたりなら？
今はどこかへ行きますか？	学校の今日ならどんな？
今はどこかへ行きますか？	職場のお昼はどうだろう？
今はどこへ行くのですか？	私は雑誌とかを見て買いに行きますよ
今はどちらへ行かれるんですか？	はい憧れがありますいつか行きます
今はどちらまで？	のどが渇いて無くても飲むようにしています
今は忙しい？	阿久根市の30日ならどうですか？
今は忙しい？	日本のアニメが好きなので
今は忙しくなりそう？	お昼のこのあたりならどうですか？
今は忙しくなりそう？	まぁそうだと思います
今は忙しくなりそう？	職場の天気はどんな感じ？
今週は北海道へ行ってました	宇検村の今朝ならどうですか？
今週末は連休ですね	成田市のお昼ならどうですか？
今朝のここの天気はどんな感じ？	全然退屈じゃないから
今朝のここは雪降らないかな？	夕方はヒマなんですか？
今朝のここは曇るかな？	お昼のここの天気はどんなになってる？
今朝のこの辺は曇るかな？	夕方の予定を教えて
今朝の寒さは？	職場は雪かな？
今朝の士幌町は雪降らない？	この辺の今日はどうですか？
今朝の天気教えて	職場は雨？
今朝はどちらへ行かれるんですか？	この辺のお昼ならどんな？
今朝は暇になりそう？	小清水町の朝はどうですか？
今朝は忙しい？	南九州市の夕方はどんな？
今朝は忙しくなりそう？	熊野町はどうですか？
今度食べてみますね	夜はどこへ行くのですか？
今日のここは曇る？	今日は暇になりそう？
今日のこの辺の暑さは？	学校のお昼の天気は何かな？
今日のこの辺は暖かいかな？	犬鳴峠って
今日の横瀬町の天気はどんな感じ？	山形市のお昼の天気はどう？
今日の学校なら？	夏は海ですよね
今日の学校は曇り？	昼の尾道市は晴れると思う？
今日の滋賀県は寒い？	職場の天気はどう？
今日の十島村は晴れる？	昼の熊本市の天気を教えてほしい
今日の暑さは？	今日はお仕事ですか？
今日の松前町は曇る？	昼の職場は晴れないと思う？
今日の職場の寒さは？	今夜は晴れないかな？
今日の職場の暑さは？	ありがとうございますこまめな水分補給が大事ですね
今日の職場の天気教えて	夕方はお仕事ですか？
今日の職場は？	ここの4月はどう？
今日の東伊豆町は寒いかな？	このあたりの天気はどんな？
今日の東白川村は涼しい？	この辺は晴れたり？
今日の富士見町はどう？	お昼のここなら？
今日はどちらまで？	お昼のこのあたりはどう？
今日はどちらまで？	こんにちはお盆休みはどこかに行きましたか!
今日はどちらまで？	今日の職場はどうだろう？
今日はヒマなんですか？	有田川町の来週なら？
今日は暇？	熱中症の予防になりますものね
今日は暖かい？	昼はどこかへ行く予定はありますか？
今日は忙しくなりそう？	松島町で何か予定ある？
今夜のこのあたりは暖かい？	ここで何かある？
今夜のこのあたりは曇り？	武蔵村山市で何かある？
今夜の稲敷市は雨降らない？	夕方の予定を教えてほしい
今夜の糸魚川市は雨？	夕方の神河町ならどうですか？
今夜の予定は？	日田市の今夜は？
今夜の予定教えて	私は冷たいものがいいです
今夜はお仕事ですか？	実は赤色だよ
今夜はどこに行くんですか	小清水町の明後日はどうですか？
今夜は何かある？	今のここはどんな？
今夜は雪降る？	学校の夕方はどうですか？
根室市のお昼の涼しさは？	夜の職場なら？
根室市の今朝の涼しさは？	胃を小さくしろと？
佐渡市の明後日は曇るかな？	この辺は晴れない？
最近物忘れが多くていやになりますね	お昼のここの天気はどんな感じ？
阪南市の今夜はどうですか？	たまに
阪南市の来週はどうですか？	北大東村の夕方は晴れないと思う？
三次市は晴れない？	今朝はどこに行くんですか
三重県に赤福の宇治金時があるんですよ	夜の村田町はどうだろう？
山は？	普代村の朝はどんな？
山形市のお昼の天気はどう？	泳げるの？
子供は喜んでいます	夕方の予定
私はスイカで有名な人ではありませんよ？	食欲の秋？
私は音楽を聴くことが趣味です	来月は雨降らないかな？
私は山の方がいいです	今朝の予定
私は新橋演舞場しか行っていないんです	共和町のお昼の天気はどうかな？
私は新橋演舞場しか行っていないんです	今日は暇になりそう？
私は農家で出荷準備のバイトをしたことがあるよ	今のこのあたりの天気
私は夕張メロンが好きです	明日はお仕事ですか？
七飯町の明日は涼しいかな？	北塩原村は晴れる？
充電器かな	夕方はどこかへ行く予定はありますか？
出先で鼻水が出ると困りますね	香美町は暑い？
小谷村の夕方の天気は？	今は車持ってません
松山市で何か予定されてる？	青森市の夜ならどんな？
沼津市の夕方は？	犬を飼っています
沼津市の来月は？	職場ならどう？
湘南の海へ	どうももう8月が終わるね
上山市の明日の天気	一緒にね
上山市の夕方の天気	そうかなあ
上牧町の今朝は暑い？	ビールとかウインナーですか
情報ありがとう	お昼のうきは市の暑さは？
職場で何かある？	今のこのあたりならどう？
職場で何か予定ある？	夕方のこの辺はどうだろう？
職場で何か予定されてる？	滝沢市の夕方ならどんな？
職場の10月なら？	わがままだなあ
職場の12日は雨降る？	今から行きましょうか
職場の5日はどうだろう？	お昼のこのあたりの天気
職場の7月22日の天気を教えてほしい	与えていません
職場のお昼の寒さは？	加湿器を効かせましょう
職場のお昼の天気	イルカショーとかをやっている水族館も多いですが好きですか？
職場のお昼の天気	今朝は晴れる？
職場のお昼の天気はどんな感じ？	家で食べるスイカが一番好きです
職場のお昼の天気は何？	それは気の毒な言われ方ですね
職場の今の天気はどんな？	お昼の東成瀬村は晴れないかな？
職場の今は晴れると思う？	修学旅行で選択される土地ですよね
職場の今朝の天気教えて	犬鳴峠って
職場の今日の天気は何かな？	学年全体はマンモス校でしたよ9クラスとかあったので
職場の今日は暖かいかな？	天気は1月17日どうかな？
職場の今夜は雪かな？	明後日は曇りかな？
職場の今夜は暖かいかな？	学校は曇る？
職場の昼の天気はどう？	明後日はお仕事ですか？
職場の昼は涼しい？	夕方はどこに行くんですか
職場の朝の天気はどうだろう？	天気は今日はどうだろう？
職場の朝は雪降る？	七ヶ浜町について詳しく教えてください
職場の天気は何？	明日はどんな？
職場の天気は何かな？	今はどんな気分ですか？
職場の明後日ならどうですか？	このあたりは雨降る？
職場の明後日は曇るかな？	このあたりならどう？
職場の明日は雨降る？	娯楽は避けてますか
職場の明日は寒いかな？	明日の予定教えて
職場の明日は晴れたり？	気温と湿度をよく見るようにします
職場の明日は曇る？	まだお昼ですよ
職場の夜は雪かな？	朝から山に行きますか？
職場の夕方ならどう？	今日の志免町は暖かい？
職場の夕方の暑さは？	大玉村ならどうですか？
職場の夕方の天気を教えてほしい	まあ
職場の夕方は晴れたり？	今日は何して遊ぶ？
職場の来週の涼しさは？	このあたりの天気を教えてほしい
職場の来週は曇りかな？	学校は暖かいかな？
職場は晴れ？	このあたりならどんな？
職場は曇りかな？	なるほどどんなコンサートに行かれるのですか？
信濃町の夕方はどうですか？	カミキリムシはよく見るな
寝坊してしまったよ	昼は忙しくなりそう？
神奈川県の夕方は？	昼の学校は？
水を飲むといいです	夕方は何か予定されてる？
水飲まないと	今は忙しくなりそう？
水分はちゃんととってますか？	明後日はどこに行くんですか
数学も忘れてると大変です	学校の明日の天気はどんなになってる？
成田市の夜ならどうですか？	近所にあるしね
生坂村の天気は？	夜明けのスキャットか
西ノ島町の夜は雨かな？	海南市の朝の天気を教えてほしい
静岡の海は？	今朝の臼杵市ならどう？
折り畳み傘だとカバンを包みきれなくていつも苦労します	今朝の予定は？
千歳市の夕方はどうだろう？	むしろ最近の曲は全然聞かないですね…
千代田区のお昼の寒さは？	これから楽しみですね
川はどうですか？	ここの来週ならどんな？
曽爾村の夕方は晴れかな？	受付して待ちますよ
多古町の12月は晴れたり？	うまくやればね
太地町の夕方はどうだろう？	能登町はどうだろう？
退屈なときは寝ればいいんですよ	明後日の富士見町はどう？
大紀町の明日は曇る？	良い朝ですね
大船渡市のお昼の天気を教えてほしい	勝手に行ってください
大船渡市の今日の天気を教えてほしい	灰大切です
大船渡市の昼の天気を教えてほしい	もうずっと会ってないんですよ
大和高田市の今日は雪降る？	椎葉村は雪かな？
中頓別町の夕方は雪降らない？	最終的には性格が一番大事ですよ
中富良野町で何か予定ある？	学校の明日はどう？
昼のここの天気はどんな感じ？	夕方は何か予定ある？
昼のこのあたりは晴れないかな？	なるほど…
昼のこのあたりは晴れないと思う？	それで
昼のこのあたりは雪降らないかな？	私も来年から社会人です
昼の学校の天気はどうだろう？	夏だからね
昼の学校の天気は何かな？	可愛いですね
昼の佐久穂町は晴れたり？	限界は空です
昼の三股町の天気はどう？	首からかけておくとか？
昼の職場の天気は何かな？	山は？
昼の予定	職場の今朝はどうですか？
昼の予定は？	ここの夜は？
昼は何か予定されてる？	このあたりは雨？
朝の伊達市は？	伊佐市で何か予定されてる？
朝の高槻市はどう？	夜の学校ならどんな？
朝の鮭川村は晴れ？	夕方は忙しくなりそう？
朝の職場は雨降るかな？	美浜町のお昼の天気
朝の職場は寒いかな？	今はヒマなんですか？
朝の予定を教えてほしい	学校の今朝はどう？
朝はお仕事ですか？	ここの来週はどう？
朝はつらいので昼から行きましょう	今年は海に行かれる予定はあるのですか？
朝はどこかへ行く予定はありますか？	会社で仕事でした
朝はどこかへ行く予定はありますか？	明後日のこのあたりなら？
朝はどこへ行くのですか？	夕方のこのあたりならどんな？
朝はどちらまで？	甲斐市の夜はどう？
朝は暇？	この辺の今夜は暖かいかな？
潮来市の今夜は晴れかな？	今日は何日ですか？
長い夏休みだったのですか？	このあたりの来週はどうですか？
長い夏休みだったのですか？	このあたりはどんな？
長岡京市の夜は晴れるかな？	学校は雨？
長洲町の天気はどうだろう？	僕も暇です
長泉町の今夜は雪？	職場は晴れ？
直方市の今日は雨降らないかな？	この辺の天気はどんなになってる？
直方市の明日は雨降らないかな？	阿久比町は晴れる？
直方市の明日は雨降らないかな？	今はどこに行くんですか
天気は今どんなになってる？	何いってんの？
天気は夜どうかな？	大崎市は？
天気は夜はどうだろう？	優しいのですか？
天気は夕方はどうだろう？	小笠原村はどうだろう？
都農町のお昼の天気はどうかな？	ここの夕方はどう？
砺波市の明後日は雪降らない？	小谷村のお昼の天気は？
東みよし町の来週は寒いかな？	職場は雪？
徳島市のお昼の天気はどんなになってる？	行きましょう
徳島市の今の天気はどんなになってる？	こんにちはスイカは好きです
奈井江町の11日は寒いかな？	9月29日はどちらまで？
那珂川市の明後日は曇るかな？	職場は曇る？
那珂川市の夕方は曇るかな？	今日はどちらまで？
南あわじ市の寒さは？	夕方はヒマなんですか？
南箕輪村の6月は雪降らないかな？	コピー用紙としても使われますよ
日吉津村のお昼の天気はどうだろう？	この辺の今はどうだろう？
日野町の昼の天気はどう？	他に行ってみたい国はありますか？
熱中症は屋内でもなるよ	夕方のこのあたりは？
能登町はどうだろう？	今日のこのあたりは？
八千代市の朝は寒い？	このあたりの天気はどんな？
皮肉かな	今日は忙しくなりそう？
避難場所を確認しとこう	お昼の水巻町はどうですか？
飛島村の今は晴れると思う？	ニュースなんですよ
美浜町の今夜の天気	今年はまだクワガタを見ていないよ
富士市の夕方は晴れたり？	たこ焼きは？
怖くないでしょう	長洲町の天気はどうだろう？
普代村の今日はどんな？	沖縄に行ったら海に行かないとね
負けるってスポーツの話ですか	今日はヒマなんですか？
分かってくれますか？	15日はお仕事ですか？
分量間違えると大変ですよね	日野町の昼の天気はどう？
平塚市のお昼の天気は何かな？	眺めるだけにしておきましょうか
別海町で何かある？	この辺の夕方ならどんな？
北大東村の来月は晴れないと思う？	今日は何日ですか？
僕なんです	ここで何か予定されてる？
名古屋のどのあたりで？	来月のここならどんな？
明後日なら？	9月8日の神河町ならどうですか？
明後日のここの暖かさは？	職場で何か予定されてる？
明後日のここは雨降るかな？	山に行きたいな
明後日のこのあたりの天気はどんな？	今日ならどんな？
明後日のこの辺は晴れないかな？	１３：３０からです
明後日の学校なら？	そうですねXperiaはどう思いますか？
明後日の学校ならどうですか？	暇ですね
明後日の学校の天気	出来はいいですよね
明後日の学校は？	そうですねギターを弾きます
明後日の学校はどう？	成田市の今夜ならどうですか？
明後日の桑折町の天気教えて	今日はお祭りでもあります？
明後日の山都町なら？	夕方の富士見町はどう？
明後日の小清水町の天気は何？	夕方はどうですか？
明後日の小美玉市は雪降る？	昼はどこに行くんですか
明後日の職場は晴れる？	今朝の予定は？
明後日の職場は曇りかな？	明後日の天気は？
明後日の長瀞町の天気はどうだろう？	学校の夕方は晴れない？
明後日の天気はどんな？	職場で何かある？
明後日の飯塚市の天気はどんな？	今日はどちらまで？
明後日の福島県は暑いかな？	今日は暇になりそう？
明後日の矢祭町は晴れる？	この辺は雪降らない？
明後日の予定は？	来月のここなら？
明後日はどうだろう？	天気は来月どんな？
明後日はどこへ行くのですか？	越前市の昼はどう？
明後日は何か予定されてる？	海士町の来週ならどう？
明後日は暇？	小清水町のお昼はどうですか？
明後日は寒い？	明日はヒマなんですか？
明後日は忙しい？	甲斐市の明日はどう？
明日のここなら？	玉川村は？
明日の学校の暑さは？	あの金串がないとね
明日の学校の涼しさは？	今朝の天気はどうかな？
